DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,AVAILABILITY,COLLECTION,TIME_PERIOD,OBS_VALUE
D,N,D,5J,K,5J,A,CAD,TO1,A,A,3,C,K,S,2022-S1,312098.416
A,C,E,5J,C,5P,A,TO1,TO1,A,A,3,C,K,S,2021-S2,222660.362
A,C,E,5J,C,5P,A,TO1,TO1,A,A,3,C,K,S,2022-S1,195650.744
A,R,E,5J,A,5J,A,TO1,TO1,F,A,3,C,K,S,2021-S2,146176.259
A,R,E,5J,A,5J,A,TO1,TO1,F,A,3,C,K,S,2022-S1,135473.207
A,S,B,5J,U,5J,A,SEK,TO1,A,A,3,A,K,S,2021-S2,7136.65
A,S,B,5J,U,5J,A,SEK,TO1,A,A,3,A,K,S,2022-S1,3644.254
A,T,D,5J,K,5J,A,TO1,TO1,U,A,3,A,K,S,2021-S2,27727.287
A,T,D,5J,K,5J,A,TO1,TO1,U,A,3,A,K,S,2022-S1,23430.439
D,T,B,5J,K,5J,A,USD,TO1,A,A,3,A,K,S,2021-S2,1022.331
D,T,B,5J,K,5J,A,USD,TO1,A,A,3,A,K,S,2022-S1,3797.348
A,C,E,5J,C,5J,A,TO1,TO1,U,A,3,C,K,S,2021-S2,1625127.934
A,C,E,5J,C,5J,A,TO1,TO1,U,A,3,C,K,S,2022-S1,1542748.437
T,W,T,5J,Z,5J,A,TO1,TO1,A,F,3,A,K,S,2021-S2,830119.0
T,W,T,5J,Z,5J,A,TO1,TO1,A,F,3,A,K,S,2022-S1,928283.0
A,U,T,5J,K,5J,A,TO1,TO1,A,D,3,C,K,S,2021-S2,226555.0
A,U,T,5J,K,5J,A,TO1,TO1,A,D,3,C,K,S,2022-S1,266795.0
D,S,B,5J,B,5J,A,EUR,TO1,A,A,3,A,K,S,2021-S2,20803.717
D,S,B,5J,B,5J,A,EUR,TO1,A,A,3,A,K,S,2022-S1,38359.278
S,U,T,5J,C,5J,A,TO1,TO1,A,B,3,A,K,E,2021-S2,1987604.0
S,U,T,5J,C,5J,A,TO1,TO1,A,B,3,A,K,E,2022-S1,2019960.0
A,R,D,5J,K,5J,A,JPY,TO1,A,A,3,C,K,S,2021-S2,
A,R,D,5J,K,5J,A,JPY,TO1,A,A,3,C,K,S,2022-S1,118.0
T,U,T,5J,Z,5J,A,TO1,TO1,A,H,3,A,K,S,2021-S2,848142.0
T,U,T,5J,Z,5J,A,TO1,TO1,A,H,3,A,K,S,2022-S1,950915.0
A,A,B,5J,C,5J,A,CAD,TO1,A,A,3,C,K,S,2021-S2,2711198.132
A,A,B,5J,C,5J,A,CAD,TO1,A,A,3,C,K,S,2022-S1,2777246.198
A,U,T,5J,N,5J,M,TO1,TO1,A,A,3,C,K,S,2021-S2,1918.0
A,U,T,5J,N,5J,M,TO1,TO1,A,A,3,C,K,S,2022-S1,3279.0
S,V,T,5J,K,5J,A,TO1,TO1,A,Z,3,A,K,E,2021-S2,31470.0
S,V,T,5J,K,5J,A,TO1,TO1,A,Z,3,A,K,E,2022-S1,59825.0
D,L,D,5J,U,5J,A,JPY,TO1,A,A,3,C,K,S,2021-S2,12852.04
D,L,D,5J,U,5J,A,JPY,TO1,A,A,3,C,K,S,2022-S1,11194.158
T,U,T,5J,Z,5J,A,TO1,TO1,D,A,3,A,K,S,2021-S2,2845829.0
T,U,T,5J,Z,5J,A,TO1,TO1,D,A,3,A,K,S,2022-S1,3048616.0
A,U,T,5J,A,5J,K,TO1,TO1,A,A,3,C,K,S,2021-S2,174041.0
A,U,T,5J,A,5J,K,TO1,TO1,A,A,3,C,K,S,2022-S1,154907.0
S,V,T,5J,M,5J,A,TO1,TO1,D,A,3,A,K,E,2021-S2,14600.0
S,V,T,5J,M,5J,A,TO1,TO1,D,A,3,A,K,E,2022-S1,20827.0
A,T,D,5J,K,5J,A,TO1,GBP,A,A,3,A,K,S,2017-S1,28197.0
A,T,D,5J,K,5J,A,TO1,GBP,A,A,3,A,K,S,2017-S2,44395.0
T,V,T,5J,P,5J,C,TO1,TO1,A,A,3,A,K,S,2021-S2,55750.922
T,V,T,5J,P,5J,C,TO1,TO1,A,A,3,A,K,S,2022-S1,47805.0
T,X,T,5J,U,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,24089.0
T,X,T,5J,U,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,23896.0
T,U,T,5J,C,5J,A,TO1,TO1,D,A,3,A,K,S,2021-S2,2812733.0
T,U,T,5J,C,5J,A,TO1,TO1,D,A,3,A,K,S,2022-S1,3012712.0
T,U,T,5J,O,5J,F,TO1,TO1,A,A,3,A,K,S,2021-S2,30467.0
T,U,T,5J,O,5J,F,TO1,TO1,A,A,3,A,K,S,2022-S1,29820.0
D,C,B,5J,C,5J,A,TO1,CHF,A,A,3,C,K,S,2021-S2,39972.143
D,C,B,5J,C,5J,A,TO1,CHF,A,A,3,C,K,S,2022-S1,68601.653
A,L,D,5J,U,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,111583.311
A,L,D,5J,U,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,271114.906
A,U,T,5J,U,5J,A,TO1,TO1,A,B,3,C,K,S,2021-S2,59425.0
A,U,T,5J,U,5J,A,TO1,TO1,A,B,3,C,K,S,2022-S1,57019.0
D,D,E,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,159062.94
D,D,E,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,235214.244
A,W,T,5J,M,5J,G,TO1,TO1,A,A,3,C,K,S,2021-S2,14902.0
A,W,T,5J,M,5J,G,TO1,TO1,A,A,3,C,K,S,2022-S1,10849.0
D,T,B,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2021-S2,2133.786
D,T,B,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2022-S1,6040.527
A,U,T,5J,M,5J,C,TO1,TO1,A,A,3,C,K,S,2021-S2,91829.338
A,U,T,5J,M,5J,C,TO1,TO1,A,A,3,C,K,S,2022-S1,93533.974
