COMMENT,Currency,NOR_DRVTS,Measure_Type,BNK_OR_TRAD,Area_Operation,DMID,TIME_PERIOD
N_A,INR,IRSINR_INBMKINCMT_FLOAT,HABP,N_A,GL_OP,S2584,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,HABR,N_A,GL_OP,S2585,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,GRREC,TR_B,GL_OP,S2587,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,GRREC,BK_B,GL_OP,S2588,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,GRPD,TR_B,GL_OP,S2590,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,GRPD,BK_B,GL_OP,S2591,2019-Q2
N_A,INR,IRSINR_INBMKINCMT_FLOAT,NPPVBP,N_A,GL_OP,S2594,2019-Q2
N_A,N_A,IRSINR_INBMKINCMT_FLOAT,REM,N_A,GL_OP,S2595,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,TRBP,N_A,GL_OP,S2596,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,TABR,N_A,GL_OP,S2597,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,HABP,N_A,GL_OP,S2598,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,HABR,N_A,GL_OP,S2599,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,GRREC,TR_B,GL_OP,S2601,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,GRREC,BK_B,GL_OP,S2602,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,GRPD,TR_B,GL_OP,S2604,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,GRPD,BK_B,GL_OP,S2605,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FIX,NPPVBP,N_A,GL_OP,S2608,2019-Q2
N_A,N_A,IRSINR_MIFORMIOCSMITOR_FIX,REM,N_A,GL_OP,S2609,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,TRBP,N_A,GL_OP,S2610,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,TABR,N_A,GL_OP,S2611,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,HABP,N_A,GL_OP,S2612,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,HABR,N_A,GL_OP,S2613,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,GRREC,TR_B,GL_OP,S2615,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,GRREC,BK_B,GL_OP,S2616,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,GRPD,TR_B,GL_OP,S2618,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,GRPD,BK_B,GL_OP,S2619,2019-Q2
N_A,INR,IRSINR_MIFORMIOCSMITOR_FLOAT,NPPVBP,N_A,GL_OP,S2622,2019-Q2
N_A,N_A,IRSINR_MIFORMIOCSMITOR_FLOAT,REM,N_A,GL_OP,S2623,2019-Q2
N_A,INR,IRSINR_OTH_FIX,TRBP,N_A,GL_OP,S2624,2019-Q2
N_A,INR,IRSINR_OTH_FIX,TABR,N_A,GL_OP,S2625,2019-Q2
N_A,INR,IRSINR_OTH_FIX,HABP,N_A,GL_OP,S2626,2019-Q2
N_A,INR,IRSINR_OTH_FIX,HABR,N_A,GL_OP,S2627,2019-Q2
N_A,INR,IRSINR_OTH_FIX,GRREC,TR_B,GL_OP,S2629,2019-Q2
N_A,INR,IRSINR_OTH_FIX,GRREC,BK_B,GL_OP,S2630,2019-Q2
N_A,INR,IRSINR_OTH_FIX,GRPD,TR_B,GL_OP,S2632,2019-Q2
N_A,INR,IRSINR_OTH_FIX,GRPD,BK_B,GL_OP,S2633,2019-Q2
N_A,INR,IRSINR_OTH_FIX,NPPVBP,N_A,GL_OP,S2636,2019-Q2
N_A,N_A,IRSINR_OTH_FIX,REM,N_A,GL_OP,S2637,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,TRBP,N_A,GL_OP,S2638,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,TABR,N_A,GL_OP,S2639,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,HABP,N_A,GL_OP,S2640,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,HABR,N_A,GL_OP,S2641,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,GRREC,TR_B,GL_OP,S2643,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,GRREC,BK_B,GL_OP,S2644,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,GRPD,TR_B,GL_OP,S2646,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,GRPD,BK_B,GL_OP,S2647,2019-Q2
N_A,INR,IRSINR_OTH_FLOAT,NPPVBP,N_A,GL_OP,S2650,2019-Q2
N_A,N_A,IRSINR_OTH_FLOAT,REM,N_A,GL_OP,S2651,2019-Q2
N_A,INR,CDS_PRMPAID,TRBP,N_A,GL_OP,S2652,2019-Q2
N_A,INR,CDS_PRMPAID,TABR,N_A,GL_OP,S2653,2019-Q2
N_A,INR,CDS_PRMPAID,HABP,N_A,GL_OP,S2654,2019-Q2
N_A,INR,CDS_PRMPAID,HABR,N_A,GL_OP,S2655,2019-Q2
N_A,INR,CDS_PRMPAID,GRREC,TR_B,GL_OP,S2657,2019-Q2
N_A,INR,CDS_PRMPAID,GRREC,BK_B,GL_OP,S2658,2019-Q2
N_A,INR,CDS_PRMPAID,GRPD,TR_B,GL_OP,S2660,2019-Q2
N_A,INR,CDS_PRMPAID,GRPD,BK_B,GL_OP,S2661,2019-Q2
N_A,INR,CDS_PRMPAID,NPPVBP,N_A,GL_OP,S2664,2019-Q2
N_A,N_A,CDS_PRMPAID,REM,N_A,GL_OP,S2665,2019-Q2
N_A,INR,CDS_PRMRECVD,TRBP,N_A,GL_OP,S2666,2019-Q2
N_A,INR,CDS_PRMRECVD,TABR,N_A,GL_OP,S2667,2019-Q2
N_A,INR,CDS_PRMRECVD,HABP,N_A,GL_OP,S2668,2019-Q2
N_A,INR,CDS_PRMRECVD,HABR,N_A,GL_OP,S2669,2019-Q2
N_A,INR,CDS_PRMRECVD,GRREC,TR_B,GL_OP,S2671,2019-Q2
N_A,INR,CDS_PRMRECVD,GRREC,BK_B,GL_OP,S2672,2019-Q2
N_A,INR,CDS_PRMRECVD,GRPD,TR_B,GL_OP,S2674,2019-Q2
