Agency,EntryPoint,Query,ResponseCode
ILO,https://www.ilo.org/sdmx/rest,/datastructure/all/all/latest,413
ILO,https://www.ilo.org/sdmx/rest,/metadatastructure/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/metadataflow/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/provisionagreement/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/structureset/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/process/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/categorisation/all/all/latest,200
ILO,https://www.ilo.org/sdmx/rest,/contentconstraint/all/all/latest,413
ILO,https://www.ilo.org/sdmx/rest,/actualconstraint/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/allowedconstraint/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/attachmentconstraint/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/structure/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/conceptscheme/all/all/latest,200
ILO,https://www.ilo.org/sdmx/rest,/codelist/all/all/latest,413
ILO,https://www.ilo.org/sdmx/rest,/categoryscheme/all/all/latest,200
ILO,https://www.ilo.org/sdmx/rest,/hierarchicalcodelist/all/all/latest,422
ILO,https://www.ilo.org/sdmx/rest,/organisationscheme/all/all/latest,400
ILO,https://www.ilo.org/sdmx/rest,/agencyscheme/all/all/latest,200
ILO,https://www.ilo.org/sdmx/rest,/dataproviderscheme/all/all/latest,200
ILO,https://www.ilo.org/sdmx/rest,/dataconsumerscheme/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/organisationunitscheme/all/all/latest,501
ILO,https://www.ilo.org/sdmx/rest,/transformationscheme/all/all/latest,400
ILO,https://www.ilo.org/sdmx/rest,/rulesetscheme/all/all/latest,400
ILO,https://www.ilo.org/sdmx/rest,/userdefinedoperatorscheme/all/all/latest,400
ILO,https://www.ilo.org/sdmx/rest,/customtypescheme/all/all/latest,400
ILO,https://www.ilo.org/sdmx/rest,/namepersonalisationscheme/all/all/latest,400
ILO,https://www.ilo.org/sdmx/rest,/namealiasscheme/all/all/latest,400
ILO,https://www.ilo.org/sdmx/rest,/conceptscheme/all/all/latest/all,200
ILO,https://www.ilo.org/sdmx/rest,/codelist/all/all/latest/all,413
ILO,https://www.ilo.org/sdmx/rest,/categoryscheme/all/all/latest/all,200
ILO,https://www.ilo.org/sdmx/rest,/hierarchicalcodelist/all/all/latest/all,501
ILO,https://www.ilo.org/sdmx/rest,/organisationscheme/all/all/latest/all,400
ILO,https://www.ilo.org/sdmx/rest,/agencyscheme/all/all/latest/all,501
ILO,https://www.ilo.org/sdmx/rest,/dataproviderscheme/all/all/latest/all,501
ILO,https://www.ilo.org/sdmx/rest,/dataconsumerscheme/all/all/latest/all,501
ILO,https://www.ilo.org/sdmx/rest,/organisationunitscheme/all/all/latest/all,501
ILO,https://www.ilo.org/sdmx/rest,/transformationscheme/all/all/latest/all,400
