DATAFLOW,FREQ,DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,TIME_PERIOD,AVAILABILITY,COLLECTION,OBS_STATUS,OBS_CONF,OBS_VALUE
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2009,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2010,K,S,A,F,62.525
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2011,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2012,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2013,K,S,A,F,880.555016
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2014,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2015,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2016,K,S,A,F,355.131301
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2017,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2018,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,BRL,A,A,3,C,2019,K,S,A,F,950.296766
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,1992,K,S,A,F,230.619043
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,1993,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,1994,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,1995,K,S,A,F,128.336839
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,1996,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,1997,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,1998,K,S,A,F,283.785705
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,1999,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2000,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2001,K,S,A,F,270.6
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2002,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2003,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2004,K,S,A,F,506.976178
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2005,K,S,M,F,
BIS:BIS_DER(1.0),A,U,A,B,5J,A,1E,A,JPY,CAD,A,A,3,C,2006,K,S,M,F,
